SHAP Aggregated — HURRAH | tabicl
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 4 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ANNI_MENOP                                    0.207878      0.062083
ALTEZZA                                       0.203942      0.085255
STATINA                                       0.203031      0.079827
IMA_BASE                                      0.194860      0.092591
PCR                                           0.193394      0.069282
MENOPAUSA                                     0.191942      0.079092
BETABLOCCANTI                                 0.189728      0.061476
URICEMIA                                      0.188102      0.066730
FA_BASE                                       0.179795      0.067725
IMT                                           0.179567      0.065747
FU_NF_FA                                      0.177753      0.068585
PESO                                          0.175804      0.055731
EXFUMO                                        0.175195      0.084879
TG                                            0.170961      0.084197
ETA                                           0.154440      0.059448
CT                                            0.138323      0.044668
FUMO_ATT                                      0.137279      0.055705
BMI                                           0.137243      0.060559
PAD                                           0.134338      0.058526

--- deepsurv_tuned ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ATT_FIS_H_SETT                                0.109175      0.067644
HB                                            0.105977      0.048472
GOTTA                                         0.104406      0.038081
VITA                                          0.100249      0.052069
SARTANI                                       0.090747      0.055385
ALTRO_CAA                                     0.080571      0.042202
HCTZ                                          0.075380      0.035125
ALLOPURINOLO                                  0.071600      0.033816
FC                                            0.069627      0.030001
AZOTEMIA                                      0.066850      0.030717
INS_CARD                                      0.064991      0.036828
SESSO                                         0.063650      0.025727
CREATININA                                    0.063010      0.033927
IRC                                           0.060111      0.021999
INDAPAMIDE                                    0.054716      0.038583
ACEI                                          0.053753      0.024471
ETANOLO_G_DIE                                 0.053211      0.024111
ALCOOL                                        0.051116      0.023778
DELL_ANSA                                     0.049607      0.025599
BETABLOCCANTI                                 0.047407      0.020372
HDL                                           0.045971      0.017670
FIBRATI                                       0.043318      0.020592
CLORTALIDONE                                  0.042821      0.019278
ATT_FIS                                       0.041099      0.024273
IPERTESO                                      0.040929      0.019037
PLACCA                                        0.040166      0.021206
OMEGA_3                                       0.038706      0.016193
FU_NF_FA                                      0.037458      0.021730
EXFUMO                                        0.033851      0.014152
CBV_BASE                                      0.033291      0.020669
FAM_IPERT                                     0.033181      0.017458
ACIDO_NICOTINICO                              0.032960      0.019016
GLICEMIA                                      0.031544      0.012226
HT                                            0.031351      0.013670
URICEMIA                                      0.030411      0.013437
RESINE                                        0.030290      0.012927
HF_BASE                                       0.030021      0.021313
DIURETICI                                     0.029173      0.006214
FA_BASE                                       0.028804      0.015883
FAM_CV                                        0.028340      0.011723
DIABETE                                       0.028031      0.014637
NORMOMICROMACRO                               0.026388      0.010925
IMT                                           0.025956      0.010757
IMA_BASE                                      0.025502      0.014653
STATINA                                       0.025485      0.011291
CAA_DIID                                      0.024844      0.009839
ALTEZZA                                       0.024301      0.010127
PCR                                           0.022658      0.012767
NF_FA                                         0.021627      0.007834
EZETEMIBE                                     0.021448      0.007439
FUMO_ATT                                      0.020803      0.009432
ALB_CAT                                       0.020303      0.009767
ANNI_MENOP                                    0.020100      0.007947
ETA                                           0.018150      0.008577
PAD                                           0.017948      0.010243
PAS                                           0.016261      0.006685
PESO                                          0.015954      0.006951
BMI                                           0.015357      0.005368
CT                                            0.014240      0.006842
TG                                            0.014090      0.005206
MENOPAUSA                                     0.012268      0.005542

--- deepsurv_simple_baseline ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
FC                                            8.974628      2.380909
CT                                            5.152423      0.569237
HDL                                           2.707976      0.329096
TG                                            2.031468      0.805789
GLICEMIA                                      1.987856      0.556202
ETA                                           0.947416      0.239475
VITA                                          0.694322      0.485070
HT                                            0.453503      0.347871
HB                                            0.423465      0.096434
AZOTEMIA                                      0.286352      0.148623
ANNI_MENOP                                    0.282747      0.182537
ALTEZZA                                       0.226134      0.108983
PAS                                           0.213766      0.132364
ETANOLO_G_DIE                                 0.120856      0.059849
PESO                                          0.093751      0.038743
SESSO                                         0.080317      0.023014
ATT_FIS_H_SETT                                0.068826      0.029742
RESINE                                        0.065070      0.024710
HF_BASE                                       0.062486      0.026811
FAM_IPERT                                     0.059419      0.013321
ACEI                                          0.059182      0.022093
CLORTALIDONE                                  0.058590      0.029853
IMA_BASE                                      0.056936      0.029245
CBV_BASE                                      0.055749      0.030070
ACIDO_NICOTINICO                              0.055074      0.020863
FUMO_ATT                                      0.052670      0.009203
ALB_CAT                                       0.052618      0.022995
STATINA                                       0.048734      0.016011
URICEMIA                                      0.048426      0.017702
ALCOOL                                        0.044292      0.021396
CAA_DIID                                      0.043556      0.025006
DELL_ANSA                                     0.043286      0.018706
PAD                                           0.042712      0.023090
IPERTESO                                      0.040537      0.018566
ATT_FIS                                       0.039860      0.016003
IMT                                           0.039485      0.017051
INS_CARD                                      0.039199      0.016677
DIABETE                                       0.039183      0.019577
MENOPAUSA                                     0.038584      0.013820
ALTRO_CAA                                     0.037503      0.018021
IRC                                           0.037442      0.013307
PCR                                           0.035675      0.012457
EZETEMIBE                                     0.035025      0.014278
PLACCA                                        0.034846      0.014591
FIBRATI                                       0.034564      0.016753
SARTANI                                       0.034394      0.016907
BMI                                           0.034387      0.019511
FU_NF_FA                                      0.034322      0.016600
FAM_CV                                        0.034111      0.015220
EXFUMO                                        0.033699      0.007436
HCTZ                                          0.032406      0.019069
BETABLOCCANTI                                 0.032072      0.016410
DIURETICI                                     0.031573      0.012039
CREATININA                                    0.031220      0.011317
INDAPAMIDE                                    0.030928      0.014982
FA_BASE                                       0.029435      0.013376
GOTTA                                         0.029261      0.013473
NORMOMICROMACRO                               0.028849      0.012765
OMEGA_3                                       0.028341      0.013381
NF_FA                                         0.027077      0.014328
ALLOPURINOLO                                  0.026980      0.010904

--- deepsurv_vanilla_baseline ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
TG                                           12.480726     12.838256
GLICEMIA                                      8.919453      4.956219
VITA                                          8.187606      7.782470
CT                                            5.614403      5.548083
FC                                            4.881106      2.959558
HB                                            4.042474      2.850384
PAS                                           2.356662      2.367844
AZOTEMIA                                      2.102525      1.812798
ETA                                           2.000553      0.965908
HDL                                           1.943534      1.406846
ETANOLO_G_DIE                                 1.542327      2.243169
HT                                            1.290756      1.121450
PAD                                           1.288434      1.710746
PESO                                          1.239359      0.722784
ALTEZZA                                       0.897844      1.131410
ANNI_MENOP                                    0.547547      0.389056
ATT_FIS_H_SETT                                0.395253      0.228056
BMI                                           0.212119      0.161076
IPERTESO                                      0.202000      0.255242
URICEMIA                                      0.162017      0.128011
ACIDO_NICOTINICO                              0.151306      0.170748
EZETEMIBE                                     0.148321      0.140749
FU_NF_FA                                      0.145053      0.192979
CAA_DIID                                      0.143630      0.137034
ALB_CAT                                       0.142526      0.149667
FUMO_ATT                                      0.141044      0.118057
PLACCA                                        0.139392      0.114046
ALCOOL                                        0.137284      0.144370
IMA_BASE                                      0.134686      0.110541
PCR                                           0.134650      0.148184
SESSO                                         0.133881      0.111851
FIBRATI                                       0.131575      0.131871
RESINE                                        0.130302      0.123386
INS_CARD                                      0.129389      0.131234
CLORTALIDONE                                  0.128006      0.128075
STATINA                                       0.125880      0.112657
EXFUMO                                        0.124386      0.105085
DELL_ANSA                                     0.120469      0.100809
OMEGA_3                                       0.119032      0.082132
FAM_IPERT                                     0.118467      0.103671
NF_FA                                         0.114258      0.093473
CBV_BASE                                      0.111957      0.062755
DIABETE                                       0.109805      0.097049
ALTRO_CAA                                     0.108616      0.120203
ACEI                                          0.107301      0.095806
HF_BASE                                       0.106114      0.060297
SARTANI                                       0.102439      0.092962
ATT_FIS                                       0.101582      0.098548
GOTTA                                         0.099556      0.107546
HCTZ                                          0.099459      0.110452
BETABLOCCANTI                                 0.098426      0.040279
DIURETICI                                     0.098199      0.092374
IMT                                           0.092953      0.062804
MENOPAUSA                                     0.092859      0.038696
CREATININA                                    0.092383      0.067504
ALLOPURINOLO                                  0.086495      0.053237
IRC                                           0.085119      0.075573
FA_BASE                                       0.082525      0.061935
FAM_CV                                        0.080500      0.065005
NORMOMICROMACRO                               0.078474      0.032632
INDAPAMIDE                                    0.077521      0.049794

--- rsf_baseline ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                           5.060604      0.867846
SESSO                                         2.855839      0.743771
ATT_FIS_H_SETT                                1.490379      0.313420
INS_CARD                                      1.247042      0.265499
CAA_DIID                                      0.874316      0.396483
FAM_CV                                        0.793918      0.250993
FAM_IPERT                                     0.748754      0.210252
GLICEMIA                                      0.683778      0.321049
HB                                            0.611981      0.326789
NORMOMICROMACRO                               0.609030      0.361541
ALTRO_CAA                                     0.490200      0.457967
ACEI                                          0.485516      0.167016
CREATININA                                    0.462159      0.118989
PAS                                           0.452722      0.127348
VITA                                          0.430269      0.230903
CLORTALIDONE                                  0.386264      0.156909
DELL_ANSA                                     0.384660      0.234296
URICEMIA                                      0.379400      0.132473
DIABETE                                       0.322551      0.071773
ALLOPURINOLO                                  0.314694      0.106414
ALCOOL                                        0.314530      0.145513
PLACCA                                        0.300635      0.255448
RESINE                                        0.281522      0.130530
ATT_FIS                                       0.259946      0.118962
CT                                            0.258489      0.100234
IRC                                           0.252427      0.077286
SARTANI                                       0.247662      0.102217
ACIDO_NICOTINICO                              0.237135      0.085342
PCR                                           0.233149      0.110336
AZOTEMIA                                      0.224879      0.054946
HT                                            0.222600      0.102228
GOTTA                                         0.216945      0.111055
INDAPAMIDE                                    0.212330      0.090508
EXFUMO                                        0.207257      0.090019
HCTZ                                          0.203853      0.119143
BMI                                           0.196029      0.091902
PESO                                          0.192846      0.070584
EZETEMIBE                                     0.186614      0.070818
ETANOLO_G_DIE                                 0.180383      0.083634
FA_BASE                                       0.175225      0.080763
CBV_BASE                                      0.166689      0.051423
DIURETICI                                     0.164966      0.056852
BETABLOCCANTI                                 0.148779      0.085970
FC                                            0.140628      0.036723
NF_FA                                         0.138627      0.067315
HDL                                           0.136524      0.065112
PAD                                           0.130749      0.060212
IMA_BASE                                      0.129196      0.053791
TG                                            0.126292      0.035735
STATINA                                       0.125085      0.059809
ALTEZZA                                       0.123688      0.050374
ANNI_MENOP                                    0.116241      0.056701
HF_BASE                                       0.113198      0.038348
OMEGA_3                                       0.109106      0.066684
IMT                                           0.108057      0.037642
MENOPAUSA                                     0.105597      0.043795
FIBRATI                                       0.105154      0.035411
ALB_CAT                                       0.101149      0.037925
FU_NF_FA                                      0.096750      0.038953
FUMO_ATT                                      0.096271      0.028417
IPERTESO                                      0.093320      0.028114

--- cox_baseline ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
CT                                        328608381163684459708416.000000656860165499941946392576.000000
IRC                                       201225244765287847297024.000000402360556745378504900608.000000
PLACCA                                    186358966400353981956096.000000372690751350986432839680.000000
RESINE                                    177033352154904044503040.000000354054373784794920124416.000000
GLICEMIA                                  143032203809201495998464.000000283096281996126693883904.000000
OMEGA_3                                   141499412113354680958976.000000282993452232535508516864.000000
FC                                        94977448139648634191872.000000189248763997998622441472.000000
ATT_FIS                                   92155443769654003105792.000000184303887589919057510400.000000
NORMOMICROMACRO                           90515908000732015493120.000000181029132143301016682496.000000
INDAPAMIDE                                82896057798692278632448.000000165783351504499774586880.000000
ALCOOL                                    65755806593874992824320.000000131400447529410323546112.000000
