
Dataset: HURRAH | Model: tabicl | Seeds: 42 (aggregated, n=1)
======================================================================

Preprocess: -1
------------------------------------------------------------

  Sample size (requested):    100  |  actual mean: 100
    TEST  DS-vanilla (base)                 → mean: 0.8304 | std: 0.0000 | min: 0.8147 | max: 0.8440
    TRAIN RSF (base)                        → mean: 0.9445 | std: 0.0000 | min: 0.9436 | max: 0.9459
    TEST  RSF (base)                        → mean: 0.8394 | std: 0.0000 | min: 0.8271 | max: 0.8557
    TRAIN Cox (base)                        → mean: 0.8299 | std: 0.0000 | min: 0.8220 | max: 0.8412
    TEST  Cox (base)                        → mean: 0.8247 | std: 0.0000 | min: 0.8141 | max: 0.8325

  Sample size (requested):  10000  |  actual mean: 10000
    TRAIN tabicl+DS-simple                  → mean: 0.9622 | std: 0.0000 | min: 0.9563 | max: 0.9645
    TEST  tabicl+DS-simple                  → mean: 0.7812 | std: 0.0000 | min: 0.7510 | max: 0.8070
    TRAIN tabicl+DS-vanilla                 → mean: 0.8745 | std: 0.0000 | min: 0.5240 | max: 0.9643
    TEST  tabicl+DS-vanilla                 → mean: 0.7706 | std: 0.0000 | min: 0.6983 | max: 0.8087
    TRAIN tabicl+RSF                        → mean: 0.9833 | std: 0.0000 | min: 0.9827 | max: 0.9839
    TEST  tabicl+RSF                        → mean: 0.7208 | std: 0.0000 | min: 0.6933 | max: 0.7503
    TRAIN tabicl+Cox                        → mean: 0.9653 | std: 0.0000 | min: 0.9643 | max: 0.9658
    TEST  tabicl+Cox                        → mean: 0.7656 | std: 0.0000 | min: 0.7566 | max: 0.7767
    TRAIN DS-simple (base)                  → mean: 0.8285 | std: 0.0000 | min: 0.8196 | max: 0.8357
    TEST  DS-simple (base)                  → mean: 0.8247 | std: 0.0000 | min: 0.8208 | max: 0.8284
    TRAIN DS-vanilla (base)                 → mean: 0.7505 | std: 0.0000 | min: 0.4190 | max: 0.8439
    TEST  DS-vanilla (base)                 → mean: 0.7428 | std: 0.0000 | min: 0.4007 | max: 0.8318
    TRAIN RSF (base)                        → mean: 0.9425 | std: 0.0000 | min: 0.9402 | max: 0.9445
    TEST  RSF (base)                        → mean: 0.8489 | std: 0.0000 | min: 0.8372 | max: 0.8629
