SHAP — HURRAH | tabpfn | preprocess: NaN | seed: 789
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
VITA                                      0.020515       0.007646
EXFUMO                                    0.020511       0.007463
MENOPAUSA                                 0.020309       0.008636
IRC                                       0.019623       0.008870
NORMOMICROMACRO                           0.018876       0.007920
CLORTALIDONE                              0.017854       0.012558
ALB_CAT                                   0.017704       0.011241
HDL                                       0.016870       0.014111
PCR                                       0.016838       0.006338
PAD                                       0.016578       0.011334
IMA_BASE                                  0.015404       0.006491
ACIDO_NICOTINICO                          0.014905       0.011665
FU_NF_FA                                  0.014842       0.011072
ANNI_MENOP                                0.013956       0.008477
FIBRATI                                   0.013619       0.007174
ALLOPURINOLO                              0.013428       0.007355
GOTTA                                     0.013138       0.003802
RESINE                                    0.012908       0.003097
CBV_BASE                                  0.012279       0.005190
ALTEZZA                                   0.010191       0.004260
HF_BASE                                   0.009287       0.008156

--- deepsurv_tuned ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.681020       0.220054
STATINA                                   0.114313       0.088291
FAM_IPERT                                 0.083441       0.058193
FAM_CV                                    0.077025       0.047017
ALCOOL                                    0.065096       0.010763
GLICEMIA                                  0.064188       0.029650
INS_CARD                                  0.055283       0.031447
CREATININA                                0.051067       0.036488
HCTZ                                      0.044995       0.027703
OMEGA_3                                   0.038613       0.038840
SARTANI                                   0.037742       0.012614
SESSO                                     0.037498       0.031232
PAS                                       0.035444       0.012170
PESO                                      0.033747       0.022856
AZOTEMIA                                  0.030146       0.020690
ATT_FIS_H_SETT                            0.029536       0.011943
HT                                        0.028574       0.012946
IMT                                       0.027680       0.013998
FUMO_ATT                                  0.025901       0.018928
URICEMIA                                  0.025682       0.013860
ETANOLO_G_DIE                             0.025223       0.013805
HB                                        0.023386       0.013213
TG                                        0.021033       0.008879
EZETEMIBE                                 0.020788       0.016337
CAA_DIID                                  0.020493       0.011594
FC                                        0.019761       0.007146
DIABETE                                   0.019538       0.012823
ATT_FIS                                   0.018162       0.012323
NF_FA                                     0.016807       0.010853
ALTEZZA                                   0.016565       0.006668
ACEI                                      0.016522       0.009858
PAD                                       0.016007       0.015559
IPERTESO                                  0.014933       0.006054
BMI                                       0.014607       0.007400
PCR                                       0.013862       0.007664
DELL_ANSA                                 0.013824       0.007792
PLACCA                                    0.013026       0.005972
CT                                        0.012924       0.003821
GOTTA                                     0.012006       0.006254
DIURETICI                                 0.011727       0.007551
BETABLOCCANTI                             0.011532       0.004876
INDAPAMIDE                                0.011401       0.002332
ALTRO_CAA                                 0.010942       0.003717
NORMOMICROMACRO                           0.010753       0.006556
IRC                                       0.010574       0.006749
VITA                                      0.010177       0.003759
MENOPAUSA                                 0.009643       0.005812
ANNI_MENOP                                0.008201       0.004074
HDL                                       0.007900       0.003248
RESINE                                    0.007536       0.004421
FIBRATI                                   0.007531       0.004464
ALB_CAT                                   0.007360       0.002546
FU_NF_FA                                  0.006760       0.006070
FA_BASE                                   0.006370       0.003385
EXFUMO                                    0.006054       0.002498
CBV_BASE                                  0.006020       0.002239
IMA_BASE                                  0.005921       0.002518
CLORTALIDONE                              0.005731       0.002830
ALLOPURINOLO                              0.005718       0.002576
HF_BASE                                   0.005657       0.001260
ACIDO_NICOTINICO                          0.004382       0.002585
