SHAP — HURRAH | tabpfn | preprocess: -1 | seed: 123
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
EZETEMIBE                                 0.022286       0.011420
ALTEZZA                                   0.021458       0.009342
PAS                                       0.021367       0.004966
URICEMIA                                  0.019422       0.006330
HB                                        0.019131       0.009429
ACEI                                      0.019083       0.009175
BETABLOCCANTI                             0.019012       0.007014
FC                                        0.018878       0.012809
GLICEMIA                                  0.017830       0.009387
CAA_DIID                                  0.017459       0.007177
ACIDO_NICOTINICO                          0.016931       0.003649
PAD                                       0.016767       0.003609
ALTRO_CAA                                 0.015581       0.011514
FIBRATI                                   0.015404       0.005977
HDL                                       0.015316       0.003811
FAM_IPERT                                 0.015212       0.004623
TG                                        0.014888       0.006491
ETANOLO_G_DIE                             0.014703       0.004182
FA_BASE                                   0.014376       0.004460
NORMOMICROMACRO                           0.013570       0.005837
PESO                                      0.013524       0.005165
CT                                        0.013374       0.007649
FAM_CV                                    0.012995       0.003232
DIURETICI                                 0.012860       0.004141
VITA                                      0.011312       0.003684
BMI                                       0.011009       0.005406
ATT_FIS_H_SETT                            0.010736       0.002309
GOTTA                                     0.010628       0.003232
IRC                                       0.010450       0.004563
ATT_FIS                                   0.010417       0.006049
MENOPAUSA                                 0.009945       0.005196
NF_FA                                     0.009581       0.005420
FU_NF_FA                                  0.009003       0.004384
ALLOPURINOLO                              0.008900       0.003524
CBV_BASE                                  0.008192       0.004116
IPERTESO                                  0.008135       0.001630
PCR                                       0.007533       0.002487
ALB_CAT                                   0.007497       0.002756
ANNI_MENOP                                0.007189       0.005081
HF_BASE                                   0.006408       0.001867
IMA_BASE                                  0.005937       0.000914

--- deepsurv_simple_baseline ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.851972       0.130852
SESSO                                     0.070446       0.017443
HB                                        0.070249       0.025210
GLICEMIA                                  0.059383       0.057892
RESINE                                    0.059033       0.036715
CLORTALIDONE                              0.057666       0.026178
FAM_IPERT                                 0.055956       0.025873
ACIDO_NICOTINICO                          0.055523       0.035723
FUMO_ATT                                  0.054546       0.009658
CBV_BASE                                  0.052546       0.032796
ALB_CAT                                   0.051488       0.033307
HF_BASE                                   0.049179       0.031835
VITA                                      0.049132       0.056066
URICEMIA                                  0.046260       0.011590
HDL                                       0.045838       0.021509
ALCOOL                                    0.044335       0.014369
STATINA                                   0.042148       0.012439
IMA_BASE                                  0.038842       0.027237
ETANOLO_G_DIE                             0.036471       0.012814
ACEI                                      0.033363       0.016088
HT                                        0.033116       0.041228
ATT_FIS_H_SETT                            0.027184       0.015083
CT                                        0.026368       0.013094
ATT_FIS                                   0.026291       0.019072
DIABETE                                   0.025842       0.007095
CREATININA                                0.025593       0.015302
IRC                                       0.024570       0.009155
PLACCA                                    0.023148       0.024989
PAS                                       0.023026       0.010872
DELL_ANSA                                 0.022554       0.008171
IMT                                       0.021991       0.015775
FAM_CV                                    0.021692       0.012974
INDAPAMIDE                                0.020250       0.012948
PESO                                      0.019813       0.008198
INS_CARD                                  0.019596       0.006553
SARTANI                                   0.018359       0.011182
FC                                        0.017758       0.009943
ALTEZZA                                   0.016831       0.008275
NF_FA                                     0.016445       0.006096
EXFUMO                                    0.014502       0.010471
BMI                                       0.014076       0.012709
GOTTA                                     0.013633       0.003831
ALTRO_CAA                                 0.013178       0.009081
FU_NF_FA                                  0.012538       0.005192
NORMOMICROMACRO                           0.012168       0.005225
TG                                        0.012058       0.004473
CAA_DIID                                  0.012050       0.006431
