SHAP Aggregated — HURRAH | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
INS_CARD                                      0.067916      0.025608
SESSO                                         0.061384      0.013584
ACIDO_NICOTINICO                              0.061234      0.028164
SARTANI                                       0.054897      0.019015
ALCOOL                                        0.051163      0.019512
FUMO_ATT                                      0.050981      0.018249
STATINA                                       0.044350      0.017301
RESINE                                        0.040797      0.015476
FAM_CV                                        0.033564      0.011975
HCTZ                                          0.032904      0.010310
HT                                            0.030853      0.011404
PLACCA                                        0.030169      0.012288
CREATININA                                    0.029613      0.010974
EXFUMO                                        0.028222      0.009695
PAS                                           0.027862      0.013092
ATT_FIS_H_SETT                                0.027347      0.013774
CLORTALIDONE                                  0.024786      0.007005
DIABETE                                       0.024697      0.008061
IMT                                           0.024441      0.010427
EZETEMIBE                                     0.024216      0.011540
OMEGA_3                                       0.023476      0.011999
HB                                            0.022780      0.007574
URICEMIA                                      0.021686      0.008181
ETANOLO_G_DIE                                 0.020404      0.009970
PESO                                          0.020376      0.006970
DELL_ANSA                                     0.018080      0.007713
GLICEMIA                                      0.017916      0.008560
PAD                                           0.017725      0.006885
VITA                                          0.017391      0.006407
NF_FA                                         0.016664      0.010444
ACEI                                          0.016024      0.007607
IRC                                           0.015206      0.006515
ALLOPURINOLO                                  0.015078      0.005229
ALTEZZA                                       0.014322      0.005750
FAM_IPERT                                     0.013804      0.005876
ALTRO_CAA                                     0.013442      0.008040
TG                                            0.012987      0.004391
CAA_DIID                                      0.012943      0.005199
FIBRATI                                       0.012801      0.004843
FC                                            0.012788      0.005456
FA_BASE                                       0.012604      0.007667
GOTTA                                         0.012582      0.004327
CT                                            0.011954      0.003851
HDL                                           0.011615      0.004046
NORMOMICROMACRO                               0.011508      0.005159
BMI                                           0.011261      0.004208
FU_NF_FA                                      0.011160      0.003625
BETABLOCCANTI                                 0.010437      0.003682
DIURETICI                                     0.010097      0.003540
IPERTESO                                      0.010093      0.004663
ATT_FIS                                       0.009921      0.005152
PCR                                           0.008942      0.003869
MENOPAUSA                                     0.008074      0.003339
ALB_CAT                                       0.007816      0.003093
CBV_BASE                                      0.007722      0.003335
ANNI_MENOP                                    0.007383      0.002788
IMA_BASE                                      0.007111      0.003257
HF_BASE                                       0.005595      0.001950

--- deepsurv_simple_baseline ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                           0.866493      0.094090
ACIDO_NICOTINICO                              0.079833      0.021300
VITA                                          0.078758      0.043344
HB                                            0.071633      0.032850
RESINE                                        0.070416      0.030405
CLORTALIDONE                                  0.068648      0.031398
FAM_IPERT                                     0.064497      0.024631
CBV_BASE                                      0.062335      0.025304
IMA_BASE                                      0.060159      0.021325
HF_BASE                                       0.059179      0.021115
SESSO                                         0.057274      0.010614
ALCOOL                                        0.057076      0.020128
ALB_CAT                                       0.049344      0.027205
URICEMIA                                      0.046980      0.007776
FUMO_ATT                                      0.046152      0.011216
ACEI                                          0.040038      0.017842
STATINA                                       0.039539      0.014134
GLICEMIA                                      0.035426      0.028999
DELL_ANSA                                     0.031500      0.015982
ATT_FIS                                       0.028721      0.011805
PAS                                           0.028371      0.017716
IRC                                           0.028072      0.009712
PESO                                          0.028000      0.023620
PLACCA                                        0.027953      0.013283
IMT                                           0.027085      0.012147
FAM_CV                                        0.026628      0.014955
HDL                                           0.025219      0.018598
TG                                            0.025025      0.014874
DIABETE                                       0.024835      0.004552
SARTANI                                       0.024730      0.012186
CREATININA                                    0.024361      0.010004
PAD                                           0.023999      0.017370
INS_CARD                                      0.023651      0.006362
CT                                            0.020997      0.012072
HT                                            0.020749      0.013912
ETANOLO_G_DIE                                 0.019994      0.011285
INDAPAMIDE                                    0.019759      0.008372
FC                                            0.019703      0.015119
FA_BASE                                       0.017597      0.011251
ALTEZZA                                       0.016679      0.010071
AZOTEMIA                                      0.016489      0.010392
ATT_FIS_H_SETT                                0.016213      0.009482
ANNI_MENOP                                    0.014930      0.008318
FU_NF_FA                                      0.012826      0.007489
EZETEMIBE                                     0.012653      0.006465
ALLOPURINOLO                                  0.012181      0.005028
BMI                                           0.012048      0.007708
GOTTA                                         0.011447      0.006512
OMEGA_3                                       0.011350      0.006023
CAA_DIID                                      0.010933      0.002761
NORMOMICROMACRO                               0.010879      0.004428
NF_FA                                         0.010806      0.005222
FIBRATI                                       0.010692      0.004715
HCTZ                                          0.010679      0.004666
DIURETICI                                     0.010590      0.003518
MENOPAUSA                                     0.010102      0.005733
EXFUMO                                        0.010058      0.004819
PCR                                           0.009810      0.003433
ALTRO_CAA                                     0.009799      0.003278
BETABLOCCANTI                                 0.009376      0.003772
IPERTESO                                      0.007507      0.003203

--- deepsurv_vanilla_baseline ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
ETA                                           0.901840      0.196491
AZOTEMIA                                      0.220834      0.072352
VITA                                          0.199640      0.143159
EZETEMIBE                                     0.179121      0.332396
PAS                                           0.152035      0.147426
BMI                                           0.113765      0.190047
ATT_FIS                                       0.092550      0.156520
DIABETE                                       0.089825      0.133711
TG                                            0.086816      0.052680
CT                                            0.083818      0.074160
ALCOOL                                        0.083734      0.056333
ALTEZZA                                       0.082811      0.110605
PAD                                           0.078262      0.078606
HB                                            0.072119      0.042741
IRC                                           0.071734      0.104307
FC                                            0.071701      0.044584
DELL_ANSA                                     0.069295      0.102787
FU_NF_FA                                      0.060714      0.085807
STATINA                                       0.059448      0.045223
HT                                            0.058122      0.071172
URICEMIA                                      0.057267      0.016793
SESSO                                         0.053320      0.034095
GLICEMIA                                      0.051906      0.033004
ETANOLO_G_DIE                                 0.050423      0.035285
HDL                                           0.049323      0.027175
FUMO_ATT                                      0.046841      0.018674
DIURETICI                                     0.045621      0.063413
ACIDO_NICOTINICO                              0.044993      0.024581
RESINE                                        0.043869      0.027086
INS_CARD                                      0.039058      0.042815
FAM_CV                                        0.037181      0.047680
ALB_CAT                                       0.036396      0.022321
CLORTALIDONE                                  0.034532      0.023635
HF_BASE                                       0.033543      0.021094
CBV_BASE                                      0.031365      0.013039
IMA_BASE                                      0.031356      0.015409
NF_FA                                         0.030915      0.029136
SARTANI                                       0.029146      0.020189
INDAPAMIDE                                    0.028088      0.023488
ANNI_MENOP                                    0.027454      0.018625
FAM_IPERT                                     0.027240      0.014993
IMT                                           0.025997      0.012968
PESO                                          0.025608      0.020440
ATT_FIS_H_SETT                                0.025496      0.016241
OMEGA_3                                       0.025008      0.020695
NORMOMICROMACRO                               0.024160      0.015603
FIBRATI                                       0.024065      0.011812
FA_BASE                                       0.021638      0.017922
PLACCA                                        0.018673      0.009702
EXFUMO                                        0.018506      0.010391
IPERTESO                                      0.017970      0.011994
MENOPAUSA                                     0.017735      0.017384
ACEI                                          0.017611      0.008793
CREATININA                                    0.017470      0.011435
PCR                                           0.016736      0.016606
