SHAP — HURRAH | tabicl | preprocess: -1 | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ANNI_MENOP                                0.021221       0.004319
IMT                                       0.021201       0.010333
FAM_CV                                    0.018795       0.005796
NF_FA                                     0.018700       0.007528
PCR                                       0.018478       0.013939
PESO                                      0.015482       0.010773
PAS                                       0.015259       0.006140
DIURETICI                                 0.014379       0.003766
BMI                                       0.013915       0.005073
CT                                        0.013723       0.006251
MENOPAUSA                                 0.012963       0.005335
PAD                                       0.012251       0.005465
TG                                        0.012143       0.006409
ETA                                       0.011965       0.006605

--- deepsurv_simple_baseline ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
FC                                       17.717206       4.149882
CT                                        9.860115       1.131297
HDL                                       5.371840       0.512155
TG                                        4.131648       2.204764
GLICEMIA                                  4.098233       1.342928
VITA                                      1.393147       1.079612
HT                                        0.932666       0.658016
ETA                                       0.925371       0.296411
HB                                        0.819819       0.098338
ANNI_MENOP                                0.580761       0.335778
AZOTEMIA                                  0.501607       0.199229
ALTEZZA                                   0.488845       0.260422
PAS                                       0.385787       0.264062
ETANOLO_G_DIE                             0.320394       0.177390
PESO                                      0.112496       0.042353
SESSO                                     0.091657       0.029662
ATT_FIS_H_SETT                            0.088076       0.018987
ACEI                                      0.086302       0.031700
IPERTESO                                  0.085329       0.034224
HF_BASE                                   0.080185       0.032068
PAD                                       0.078835       0.051905
ALTRO_CAA                                 0.074096       0.043817
IMT                                       0.073486       0.024790
MENOPAUSA                                 0.073467       0.026623
FUMO_ATT                                  0.069814       0.010141
HCTZ                                      0.068649       0.042429
DIABETE                                   0.066036       0.033905
BMI                                       0.065373       0.040401
CAA_DIID                                  0.064318       0.048992
EZETEMIBE                                 0.061431       0.030081
STATINA                                   0.061107       0.019323
FIBRATI                                   0.060917       0.026064
CBV_BASE                                  0.058948       0.047796
GOTTA                                     0.058667       0.026867
FAM_CV                                    0.058328       0.014416
DELL_ANSA                                 0.058259       0.020846
EXFUMO                                    0.057292       0.010435
BETABLOCCANTI                             0.056625       0.044971
INS_CARD                                  0.056497       0.024677
IMA_BASE                                  0.056342       0.035014
URICEMIA                                  0.055900       0.020960
OMEGA_3                                   0.055732       0.023962
NORMOMICROMACRO                           0.055646       0.022578
ALB_CAT                                   0.051000       0.028824
FU_NF_FA                                  0.050167       0.025501
FA_BASE                                   0.049350       0.019170
PLACCA                                    0.048982       0.023157
IRC                                       0.047576       0.015660
ACIDO_NICOTINICO                          0.047431       0.018462
FAM_IPERT                                 0.046209       0.014353
ATT_FIS                                   0.044757       0.017123
CLORTALIDONE                              0.044651       0.028799
RESINE                                    0.044645       0.014363
ALCOOL                                    0.043973       0.023217
DIURETICI                                 0.043893       0.025777
PCR                                       0.043612       0.019871
INDAPAMIDE                                0.042888       0.025645
SARTANI                                   0.041671       0.014411
NF_FA                                     0.035916       0.011475
ALLOPURINOLO                              0.033333       0.015933
CREATININA                                0.032492       0.010147

--- deepsurv_vanilla_baseline ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
TG                                       25.922801      29.426629
GLICEMIA                                 22.455614       7.066708
VITA                                     16.686256      18.114581
FC                                        9.899150       7.489153
CT                                        7.141092       8.129714
HB                                        7.079921       4.021400
AZOTEMIA                                  7.016788       6.022189
ETANOLO_G_DIE                             4.149677       6.392977
ETA                                       3.880450       2.443583
PAS                                       3.283840       2.345828
HDL                                       2.937319       3.241698
HT                                        2.441242       1.446516
PESO                                      2.233560       0.766212
PAD                                       2.035609       2.828342
ANNI_MENOP                                0.959767       0.731439
ALTEZZA                                   0.764346       0.362157
ATT_FIS_H_SETT                            0.626605       0.427645
BMI                                       0.423561       0.371651
EZETEMIBE                                 0.273163       0.223535
CBV_BASE                                  0.260698       0.150437
URICEMIA                                  0.254010       0.165873
CLORTALIDONE                              0.251710       0.220949
PCR                                       0.250770       0.264940
IPERTESO                                  0.236091       0.235579
NF_FA                                     0.233638       0.174154
DIABETE                                   0.231896       0.195540
RESINE                                    0.228495       0.177547
FUMO_ATT                                  0.219632       0.183919
OMEGA_3                                   0.210136       0.083428
EXFUMO                                    0.205054       0.102969
STATINA                                   0.204734       0.107200
HF_BASE                                   0.202333       0.085137
BETABLOCCANTI                             0.201732       0.052970
FIBRATI                                   0.200462       0.171167
CAA_DIID                                  0.196452       0.076151
SESSO                                     0.194573       0.139677
DELL_ANSA                                 0.188422       0.135507
PLACCA                                    0.178597       0.076798
FAM_CV                                    0.176722       0.146224
ALLOPURINOLO                              0.175868       0.063745
ALTRO_CAA                                 0.172990       0.165496
DIURETICI                                 0.160633       0.138670
ALB_CAT                                   0.160252       0.174686
SARTANI                                   0.157373       0.162589
