SHAP — HURRAH | tabicl | preprocess: NaN | seed: 123
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
VITA                                      0.008853       0.006742
ALTEZZA                                   0.008771       0.002681
IMA_BASE                                  0.008538       0.002174
HDL                                       0.008418       0.004489
CT                                        0.008262       0.005054
AZOTEMIA                                  0.007983       0.001767
GLICEMIA                                  0.007865       0.001986
CBV_BASE                                  0.007661       0.003116
HB                                        0.007205       0.002691
HT                                        0.006674       0.002830

--- rsf_tuned ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
DELL_ANSA                                 4.326835       0.799296
ALTRO_CAA                                 3.077737       1.143531
SARTANI                                   2.781088       0.665556
ATT_FIS_H_SETT                            2.645349       0.859806
FAM_IPERT                                 2.577145       0.306891
FAM_CV                                    2.186318       0.506710
INS_CARD                                  2.138521       0.721881
SESSO                                     2.011069       0.882674
EXFUMO                                    1.727221       0.361826
GOTTA                                     1.705688       0.594236
HCTZ                                      1.641330       0.473776
IPERTESO                                  1.637365       0.471518
DIABETE                                   1.536731       0.459888
IRC                                       1.471851       0.201918
BETABLOCCANTI                             1.406021       0.593356
PLACCA                                    1.366372       0.458168
ACEI                                      1.302377       0.279613
INDAPAMIDE                                1.300600       0.169609
CLORTALIDONE                              1.244892       0.392768
ANNI_MENOP                                1.205043       0.189304
OMEGA_3                                   1.178166       0.288310
ALCOOL                                    0.980207       0.186736
ALLOPURINOLO                              0.976424       0.342587
ALB_CAT                                   0.950442       0.261011
URICEMIA                                  0.922991       0.101150
ATT_FIS                                   0.901532       0.130269
DIURETICI                                 0.831090       0.199856
MENOPAUSA                                 0.794598       0.075580
CREATININA                                0.708141       0.271675
ETANOLO_G_DIE                             0.695186       0.133686
STATINA                                   0.693111       0.406009
CAA_DIID                                  0.622162       0.186496
PCR                                       0.611591       0.130600
HDL                                       0.593330       0.145700
RESINE                                    0.571570       0.121176
FU_NF_FA                                  0.560238       0.280038
FIBRATI                                   0.517235       0.195250
ETA                                       0.495909       0.230208
EZETEMIBE                                 0.491981       0.109860
NORMOMICROMACRO                           0.465522       0.093900
IMA_BASE                                  0.452600       0.101788
TG                                        0.452367       0.126729
BMI                                       0.434572       0.131247
CT                                        0.418787       0.165982
CBV_BASE                                  0.413281       0.056823
HT                                        0.390499       0.107181
IMT                                       0.388888       0.123872
PAD                                       0.388121       0.169796
NF_FA                                     0.383597       0.135587
ALTEZZA                                   0.370689       0.114994
FUMO_ATT                                  0.357129       0.169897
PAS                                       0.354262       0.208725
AZOTEMIA                                  0.337899       0.110124
ACIDO_NICOTINICO                          0.337478       0.135296
FA_BASE                                   0.334894       0.044825
FC                                        0.321720       0.124864
HB                                        0.311446       0.092817
VITA                                      0.281734       0.126041
GLICEMIA                                  0.267011       0.195556
HF_BASE                                   0.191767       0.038387
PESO                                      0.147077       0.059950
