SHAP Aggregated — OrmoniTirodei | tabpfn
======================================================================

======================================================================
  Preprocessing: -1  (aggregated over 5 seed(s))
======================================================================

--- deepsurv_simple ---
Feature                                     Mean|SHAP|     Std|SHAP|
Cardiomyopathy                                0.013817      0.008345
CABG _event                                   0.013386      0.011393
Ipertensione                                  0.013067      0.010432
Ipertiroidismo                                0.013013      0.011887
Hypertension
History of hypertension                       0.012583      0.010484
MalattiaVasoAorta                             0.012196      0.009022
Normal                                        0.012060      0.010690
Triglycerides                                 0.012009      0.006765
Non Fatal AMI (Follow-Up)_event               0.011648      0.009504
Previous PCI                                  0.011439      0.009943
PCI_event                                     0.010851      0.009512
Acute Myocardial Infarction                   0.010819      0.008567
ACE-inhibitors                                0.010733      0.007275
Subclinical primary hypothyroidism (SCH)      0.010498      0.008505
Non Fatal AMI (Follow-Up)                     0.009922      0.007371
CABG                                          0.009880      0.009075
Angina                                        0.009723      0.007040
AMI                                           0.009315      0.005505
Subclinical primary hyperthyroidism
(SCT)                                         0.009018      0.006981
MIN                                           0.008796      0.010507
Smoke
History of smoke                              0.008565      0.006907
Ictus                                         0.006726      0.008507
Ipotiroidismo                                 0.006417      0.003963
Pericardite                                   0.005130      0.004747
Ictus_event                                   0.003906      0.004292
Miocardite                                    0.003905      0.005650
MIO                                           0.003307      0.006548
EmboliaPolmonare                              0.002713      0.004764
Endocardite                                   0.001588      0.001865

--- deepsurv_tuned ---
Feature                                     Mean|SHAP|     Std|SHAP|
--------------------------------------------------------------------
Age                                           0.450535      0.059921
Creatinina                                    0.114930      0.031010
fe                                            0.097378      0.027133
Ipolipemizzanti                               0.083382      0.019207
Angiography                                   0.060137      0.029588
DimPP                                         0.059068      0.019557
fT3                                           0.049240      0.018600
fT4                                           0.045106      0.015334
Vessels                                       0.042264      0.020884
Diuretics                                     0.036983      0.018505
vsx                                           0.024320      0.009155
TSH                                           0.016529      0.009130
B-Blockers                                    0.016065      0.007471
EPA                                           0.014505      0.005919
Dyslipidemia
Hystory of dyslipidemia                       0.014369      0.009059
HR                                            0.012763      0.005228
LDL                                           0.011461      0.005358
PCI                                           0.010356      0.004212
Height                                        0.010332      0.004070
Valvulopatie                                  0.009811      0.006169
DimSettoIV                                    0.009465      0.003485
WmsiBas                                       0.009302      0.003933
Gender (Male = 1)                             0.009274      0.005251
Weight                                        0.008868      0.003132
Glycemia                                      0.008856      0.003745
Diastolic blood pressure                      0.007972      0.003899
Nitrates                                      0.007902      0.004694
Total cholesterol                             0.007818      0.003163
BMI                                           0.007384      0.002422
Diabetes
History of diabetes                           0.007159      0.002536
Ipertensione                                  0.007006      0.003312
Antidiabetici                                 0.006834      0.003341
Systolic blood pressure                       0.006793      0.003868
HDL                                           0.006734      0.001866
Euthyroid                                     0.006474      0.002397
Low T3                                        0.005978      0.002496
Previous Myocardial Infarction                0.005700      0.002085
Previous CABG                                 0.005691      0.002774
Primary Dilated
Cardiomyopathy                                0.005663      0.002627
Normal                                        0.005134      0.003008
Triglycerides                                 0.005131      0.001987
AMI                                           0.005062      0.002038
PMI                                           0.004907      0.002525
Post-ischemic Dilated
Cardiomyopathy                                0.004816      0.002568
CABG                                          0.004767      0.001770
Documented resting
or exertional ischemia                        0.004740      0.001799
Hypertension
History of hypertension                       0.004731      0.001946
CABG _event                                   0.004706      0.001857
Atrial Fibrillation                           0.004601      0.001985
MalattiaVasoAorta                             0.004561      0.002431
CAD                                           0.004498      0.001468
Non Fatal AMI (Follow-Up)_event               0.004472      0.002008
Aritmie                                       0.004418      0.001889
Calcium channel blockers                      0.004412      0.002070
Non Fatal AMI (Follow-Up)                     0.004349      0.002562
PCI_event                                     0.004322      0.001734
Subclinical primary hypothyroidism (SCH)      0.004321      0.001794
Amiodarone                                    0.004207      0.001768
Ipertiroidismo                                0.004023      0.001620
Subclinical primary hyperthyroidism
(SCT)                                         0.004000      0.001579
Smoke
History of smoke                              0.003997      0.001812
Angina                                        0.003977      0.001796
Antiplatelet                                  0.003968      0.001447
ACE-inhibitors                                0.003801      0.001636
Acute Myocardial Infarction                   0.003543      0.001698
Previous PCI                                  0.003467      0.001419
MIN                                           0.003106      0.002542
Ipotiroidismo                                 0.003031      0.001766
Pericardite                                   0.002618      0.001643
Ictus_event                                   0.002359      0.002091
Miocardite                                    0.001987      0.002054
Ictus                                         0.001852      0.001696
MIO                                           0.001204      0.002068
SindromeX                                     0.001193      0.001481
EmboliaPolmonare                              0.000977      0.001438
Endocardite                                   0.000740      0.000895

--- rsf_tuned ---
