SHAP — HURRAH | tabdpt | preprocess: -1 | seed: 77
======================================================================

--- deepsurv_simple ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
SARTANI                                   0.085834       0.038515
INS_CARD                                  0.069125       0.024575
SESSO                                     0.068502       0.011950
AZOTEMIA                                  0.067526       0.018814
FAM_IPERT                                 0.062963       0.031096
ALCOOL                                    0.060593       0.026300
STATINA                                   0.056418       0.018800
ALB_CAT                                   0.056317       0.018677
URICEMIA                                  0.055617       0.017630
PESO                                      0.055140       0.017276
FUMO_ATT                                  0.054997       0.025306
GLICEMIA                                  0.053703       0.022614
CT                                        0.053225       0.025177
DELL_ANSA                                 0.052413       0.026173
GOTTA                                     0.050966       0.012337
TG                                        0.050564       0.012636
ALLOPURINOLO                              0.044724       0.033451
ALTRO_CAA                                 0.044598       0.022510
HDL                                       0.044327       0.014255
FAM_CV                                    0.043614       0.014077
CREATININA                                0.043540       0.018303
PAD                                       0.043334       0.007727
FC                                        0.043035       0.014092
FA_BASE                                   0.041585       0.009449
HT                                        0.040813       0.007544
PAS                                       0.038952       0.011147
HCTZ                                      0.037919       0.020692
EXFUMO                                    0.036760       0.005891
BMI                                       0.035515       0.011775
RESINE                                    0.032878       0.017774
ALTEZZA                                   0.032553       0.008839
ATT_FIS                                   0.031608       0.007884
ACEI                                      0.031351       0.010309
ETANOLO_G_DIE                             0.031117       0.009584
INDAPAMIDE                                0.030527       0.010176
IRC                                       0.029518       0.012074
CLORTALIDONE                              0.027623       0.014309
DIURETICI                                 0.026564       0.005609
IPERTESO                                  0.026223       0.006650
NF_FA                                     0.025540       0.013620
ACIDO_NICOTINICO                          0.025494       0.010169
PCR                                       0.024433       0.015963
EZETEMIBE                                 0.024247       0.009201
PLACCA                                    0.024024       0.009115
FIBRATI                                   0.023812       0.010388
CAA_DIID                                  0.023624       0.005056
ATT_FIS_H_SETT                            0.023139       0.010240
HF_BASE                                   0.023093       0.006238
ANNI_MENOP                                0.022897       0.010139
NORMOMICROMACRO                           0.022638       0.011600
DIABETE                                   0.022450       0.010617
BETABLOCCANTI                             0.019728       0.005502
IMT                                       0.019024       0.007824
CBV_BASE                                  0.018980       0.008752
FU_NF_FA                                  0.018242       0.003524
IMA_BASE                                  0.017388       0.005919
OMEGA_3                                   0.017381       0.007606
MENOPAUSA                                 0.013743       0.006800

--- rsf_tuned ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       5.255911       1.434209
VITA                                      1.964841       0.379775
AZOTEMIA                                  1.464455       0.200601
FAM_IPERT                                 1.404667       0.211133
GLICEMIA                                  1.371057       0.387336
PAS                                       1.162921       0.279962
TG                                        0.864624       0.258882
CT                                        0.835253       0.296818
INS_CARD                                  0.826660       0.226700
FC                                        0.806071       0.066259
CREATININA                                0.762326       0.192636
HB                                        0.754148       0.398334
SESSO                                     0.682360       0.097761
PESO                                      0.636922       0.165370
HT                                        0.623488       0.102818
ALLOPURINOLO                              0.559451       0.194402
FAM_CV                                    0.531733       0.114525
PAD                                       0.528484       0.117974
HDL                                       0.510963       0.136682
ALCOOL                                    0.488273       0.144199
URICEMIA                                  0.456403       0.171694
PLACCA                                    0.411690       0.163080
IRC                                       0.407370       0.150178
ATT_FIS_H_SETT                            0.392804       0.119119
BMI                                       0.373360       0.162316
ALTEZZA                                   0.367559       0.152930
ALB_CAT                                   0.367145       0.121032
DELL_ANSA                                 0.351951       0.070885
GOTTA                                     0.335467       0.098215
DIABETE                                   0.332353       0.057791
ATT_FIS                                   0.330379       0.087021
ETANOLO_G_DIE                             0.329770       0.158962
EXFUMO                                    0.329468       0.068131
FUMO_ATT                                  0.300717       0.123550
RESINE                                    0.299267       0.089316
CLORTALIDONE                              0.288178       0.108038
INDAPAMIDE                                0.282878       0.116705
ACEI                                      0.264059       0.081678
SARTANI                                   0.259356       0.092148
DIURETICI                                 0.256304       0.146582
BETABLOCCANTI                             0.253276       0.031264
IPERTESO                                  0.250028       0.089948
ALTRO_CAA                                 0.244504       0.060160
FIBRATI                                   0.236450       0.084595
IMA_BASE                                  0.236193       0.044512
STATINA                                   0.234636       0.026538
CAA_DIID                                  0.227641       0.067358
NORMOMICROMACRO                           0.203391       0.118891
HF_BASE                                   0.196647       0.099127
ANNI_MENOP                                0.195200       0.083296
FA_BASE                                   0.189522       0.052111
HCTZ                                      0.189169       0.048308
EZETEMIBE                                 0.186044       0.081852
NF_FA                                     0.179438       0.089882
MENOPAUSA                                 0.178972       0.051380
FU_NF_FA                                  0.178871       0.025083
IMT                                       0.174782       0.096024
OMEGA_3                                   0.170875       0.043042
PCR                                       0.146129       0.044354
CBV_BASE                                  0.138393       0.062230
ACIDO_NICOTINICO                          0.105574       0.038729

--- deepsurv_simple_baseline ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.900187       0.062166
VITA                                      0.099460       0.039968
HB                                        0.070603       0.026960
FAM_IPERT                                 0.057367       0.019781
URICEMIA                                  0.050974       0.008875
SESSO                                     0.047991       0.011250
HDL                                       0.047493       0.056610
FUMO_ATT                                  0.046907       0.014625
ALCOOL                                    0.045395       0.009452
RESINE                                    0.043164       0.020377
CBV_BASE                                  0.041892       0.011184
GLICEMIA                                  0.039141       0.034259
ACIDO_NICOTINICO                          0.038809       0.014790
STATINA                                   0.038600       0.009465
HF_BASE                                   0.038014       0.011671
IRC                                       0.037846       0.013423
IMA_BASE                                  0.035426       0.007121
CLORTALIDONE                              0.032667       0.014723
DELL_ANSA                                 0.028096       0.020857
ALB_CAT                                   0.026427       0.010775
CREATININA                                0.024575       0.008478
ACEI                                      0.023993       0.018919
FAM_CV                                    0.023604       0.011013
DIABETE                                   0.023343       0.006219
PAS                                       0.022568       0.018725
ATT_FIS                                   0.022233       0.005995
INDAPAMIDE                                0.020843       0.014128
AZOTEMIA                                  0.020818       0.026859
ALTEZZA                                   0.019058       0.016701
INS_CARD                                  0.018651       0.003458
ETANOLO_G_DIE                             0.018163       0.007221
BMI                                       0.018135       0.013469
FU_NF_FA                                  0.017978       0.006043
CT                                        0.017328       0.010979
PAD                                       0.016625       0.006490
PLACCA                                    0.016574       0.003388
TG                                        0.015950       0.010960
NORMOMICROMACRO                           0.015487       0.009251
NF_FA                                     0.014691       0.006080
FC                                        0.013865       0.009925
ANNI_MENOP                                0.013581       0.009247
OMEGA_3                                   0.012965       0.006997
FA_BASE                                   0.012945       0.011863
EZETEMIBE                                 0.012755       0.003651
SARTANI                                   0.011733       0.005281
DIURETICI                                 0.011678       0.005449
FIBRATI                                   0.011534       0.005627
MENOPAUSA                                 0.010385       0.006060
ALLOPURINOLO                              0.010219       0.001611
ALTRO_CAA                                 0.010078       0.002620
IPERTESO                                  0.010060       0.003184
HT                                        0.009861       0.004669
GOTTA                                     0.009860       0.003818
IMT                                       0.008861       0.004122
EXFUMO                                    0.008827       0.003488
ATT_FIS_H_SETT                            0.008191       0.004172
PESO                                      0.007790       0.003502
CAA_DIID                                  0.007229       0.003092
PCR                                       0.005605       0.003244
BETABLOCCANTI                             0.004969       0.003170
HCTZ                                      0.004844       0.001889

--- deepsurv_vanilla_baseline ---
Feature                                 Mean|SHAP|      Std|SHAP|
-----------------------------------------------------------------
ETA                                       0.914668       0.055141
AZOTEMIA                                  0.299146       0.243511
PAD                                       0.170147       0.254380
FUMO_ATT                                  0.159864       0.225830
VITA                                      0.138605       0.066068
PAS                                       0.090075       0.036020
ALCOOL                                    0.083321       0.033870
FAM_IPERT                                 0.082844       0.107920
HB                                        0.075837       0.056254
URICEMIA                                  0.065912       0.005628
GLICEMIA                                  0.060721       0.038145
FC                                        0.051935       0.028899
BETABLOCCANTI                             0.047484       0.073277
